SESIÓN: TORSO A,,,,,,,,,,,,,,
📋 ORDEN,🔁 PATRÓN,🏋️‍♀️ EJERCICIOS,🔁 SERIES,🔢 REPETICIONES,🕒 DESCANSO,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9
,,,,,,,,,,,,,,
A,Empuje Horizontal,"
PRESS PLANO CON BARRA
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",8,Lo justo para rendir al 100% en cada serie,,,,,,,,,
B,Empuje Vertical,"
PRESS MILITAR
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",10,Lo justo para rendir al 100% en cada serie,,,,,,,,,
C,"Empuje
Énfasis Pectoral","
FONDOS
","1 Bilbo+1+AMRAP
En la primera serie haz 30 reps; si no puedes con carga, usa tu peso hasta lograrlo. 
Cuando alcances las 30 reps, aumenta la carga un 2–3%. 
En las siguientes dos series el objetivo es 10 reps, usando peso corporal o carga; si con tu peso es muy fácil.",10,Lo justo para rendir al 100% en cada serie,,,,,,,,,
D,Tracción Vertical,"
JALÓN EN POLEA ALTA
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",10,Lo justo para rendir al 100% en cada serie,,,,,,,,,
F,Tracción Horizontal,"
REMO T
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",10,Lo justo para rendir al 100% en cada serie,,,,,,,,,
G,Aislamiento de Bíceps,"
CÚRL INCLINADO
","3
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.
",30 TOTALES,Lo justo para rendir al 100% en cada serie,,,,,,,,,
SESIÓN: PIERNA A,,,,,,,,,,,,,,
📋 ORDEN,🔁 PATRÓN,🏋️‍♀️ EJERCICIOS,🔁 SERIES,🔢 REPETICIONES,🕒 DESCANSO,,,,,,,,,
,,,,,,,,,,,,,,
A,"
Patrón de Sentadilla","
SENTADILLA HACK
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",10,Lo justo para rendir al 100% en cada serie,,,,,,,,,
B,"
Aislamiento de Femoral","
CURL FEMORAL TUMBADO
","3
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.
",30 TOTALES,Lo justo para rendir al 100% en cada serie,,,,,,,,,
C,Sentadilla Unilateral,"
BÚLGARAS EN LA SMITH
","2+AMRAP x Pierna
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",10,Lo justo para rendir al 100% en cada serie,,,,,,,,,
D,"
Aislamiento de pantorrillas
",EXTENSIONES DE TOBILLO EN PRENSA,"3
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.
",30 TOTALES,Lo justo para rendir al 100% en cada serie,,,,,,,,,
E,"
Aislamiento de Abdomen
","
PLANCHA
","3
Máximo tiempo posible.",FALLO,Lo justo para rendir al 100% en cada serie,,,,,,,,,
SESIÓN: TORSO B,,,,,,,,,,,,,,
📋 ORDEN,🔁 PATRÓN,🏋️‍♀️ EJERCICIOS,🔁 SERIES,🔢 REPETICIONES,🕒 DESCANSO,,,,,,,,,
,,,,,,,,,,,,,,
A,Empuje Vertical,"
PRESS MUY INCLINADO
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",8,Lo justo para rendir al 100% en cada serie,,,,,,,,,
B,Empuje Horizontal,"
PRESS SEMI INCLINADO 30° EN SMITH","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",10,Lo justo para rendir al 100% en cada serie,,,,,,,,,
C,Tracción Vertical,"
DOMINADAS CON AGARRE NEUTRO
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",10,Lo justo para rendir al 100% en cada serie,,,,,,,,,
D,Tracción Horizontal,"
REMO CON MANCUERNA
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",8,Lo justo para rendir al 100% en cada serie,,,,,,,,,
E,Aislamiento de deltoides lateral,"
ELEVACIONES LATERALES EN POLEA
","3
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.
",30 TOTALES,Lo justo para rendir al 100% en cada serie,,,,,,,,,
G,Aislamiento de Tríceps,"
PRESS FRANCÉS CON MANCUERNAS
","3
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.
",30 TOTALES,Lo justo para rendir al 100% en cada serie,,,,,,,,,
SESIÓN: PIERNA B,,,,,,,,,,,,,,
📋 ORDEN,🔁 PATRÓN,🏋️‍♀️ EJERCICIOS,🔁 SERIES,🔢 REPETICIONES,🕒 DESCANSO,,,,,,,,,
,,,,,,,,,,,,,,
A,Patron de sentadilla,"
SENTADILLA PENDULAR
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",8,Lo justo para rendir al 100% en cada serie,,,,,,,,,
B,Biasagra de cadera,"
HIP THRUST EN MÁQUINA
","2+AMRAP
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.",10,Lo justo para rendir al 100% en cada serie,,,,,,,,,
C,Aislamiento de Femoral,"
FEMORAL SENTADO
","3
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.
",30 TOTALES,Lo justo para rendir al 100% en cada serie,,,,,,,,,
D,Aislamiento de cuadríceps,"
EXTENSIONES DE RODILLA
","3
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.
",30 TOTALES,Lo justo para rendir al 100% en cada serie,,,,,,,,,
E,Aislamiento de Pantorrillas,"
EXTENSIONES DE TOBILLO SENTADO
","3
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.
",30 TOTALES,Lo justo para rendir al 100% en cada serie,,,,,,,,,
g,Aislamiento de Abdomen,"
CRUNCH ABDOMINAL EN MÁQUINA
","3
Misma carga en todas las series.
Auméntala un 2-3% cada vez que alcances el objetivo en todas ellas.
",30 TOTALES,Lo justo para rendir al 100% en cada serie,,,,,,,,,